id1,id2,label
207,37711,1
86919,118071,0
63139,27133,0
80251,74330,1
7649,46423,1
74686,62299,0
104332,100286,1
29693,45290,1
2437,24121,1
95423,37492,0
43664,42167,0
137133,123819,0
2534,2554,1
31145,476,0
122130,52622,0
79126,82330,0
121229,58735,0
68293,43859,0
42757,47229,0
124713,114475,0
22145,5927,0
48926,50462,0
102980,78298,0
41721,49327,1
92924,62145,0
41010,11237,0
48832,48067,1
49279,49036,1
46615,49002,0
28093,108912,1
5578,100540,0
11659,17035,1
88269,113397,0
110881,86859,0
65400,96755,0
20343,31311,0
12726,97855,0
36830,10366,0
45064,45053,1
95956,95945,1
66779,92901,0
20343,136810,0
136317,78470,0
79894,111541,0
19166,31201,0
12942,4164,1
126266,76251,0
97702,47406,1
18463,93411,0
43613,43577,1
47382,9591,0
13205,6469,1
53074,9240,1
1041,109809,0
36734,94560,1
78909,26999,1
55550,89014,0
65655,137748,0
67066,39587,0
130089,136136,0
126919,112738,0
108225,108667,1
54358,99249,1
21691,87404,0
112488,115116,0
16336,107314,1
114912,34953,0
31630,22856,0
110240,95382,0
10042,89794,1
27673,51569,0
10167,94816,0
55708,45047,0
130599,47667,0
72690,129542,1
3252,19836,0
16171,17905,1
493,96309,1
5068,16685,1
113786,110799,0
105497,121807,1
46166,127721,0
103890,90475,0
121918,108113,0
26920,32033,1
73645,73669,1
104568,42295,0
126647,51165,0
78474,44497,0
48674,68131,0
24489,36547,1
89737,97014,1
48419,103862,1
21455,64553,0
73137,67340,0
47554,112723,0
33307,53522,0
40490,51733,0
92168,55627,0
29960,20632,1
25626,106046,0
53769,16320,1
60923,139,0
19525,19554,1
73891,134526,0
4240,41689,1
57299,26285,0
17846,69861,1
48882,18576,1
113986,67142,0
15175,106750,0
12942,63256,1
38778,125526,0
43165,136170,1
78695,118454,0
28966,26104,0
17780,47848,0
60755,92445,0
134937,89971,1
99354,85148,0
112860,75715,0
71029,37016,1
27202,80301,1
134466,47444,0
85534,113909,0
31106,32882,0
63900,135978,0
120037,37448,0
5935,30765,0
30636,33532,0
37878,32240,1
28351,127244,0
17900,17993,1
39178,24647,1
73664,966,0
20846,49263,0
22207,30185,1
103056,104822,1
53840,116574,0
17135,95861,0
111881,128182,0
57563,2097,0
31167,3426,1
35706,67862,0
130534,87954,0
124795,36675,0
51558,42379,0
105104,129399,0
19358,132365,0
81242,124418,0
85067,59264,0
81086,24130,0
121169,14149,0
87459,20841,0
9690,68976,0
21962,13767,1
69529,32531,0
112278,105381,0
78189,7556,1
60473,52898,0
95799,42054,0
43282,34839,1
125736,45936,0
37545,101325,0
113655,80588,0
106240,32858,0
69346,65000,0
111420,108298,1
1675,70478,1
76163,55685,0
3895,85448,0
51784,7637,0
48413,126454,0
20619,107851,0
62117,103881,1
84216,22596,1
70387,72113,1
18107,31768,0
104717,27413,0
121820,77724,0
59825,74070,1
124012,49805,0
7268,7649,1
121470,2083,0
120319,135472,0
75024,17311,0
34811,53976,1
126699,90380,1
35079,54230,0
20953,11852,1
16740,13071,0
29884,37960,0
3391,53145,0
60364,68844,0
63117,45542,0
28117,48493,1
27268,13091,1
8717,57567,1
7258,4873,1
96831,131470,0
91518,38672,0
46156,14567,0
29854,114032,0
110487,119299,0
128654,96695,0
73314,20864,0
64332,100839,0
32707,24174,1
27605,14054,1
25127,19485,1
15864,75208,0
6052,97245,0
86161,45763,0
66693,126412,0
30271,30041,0
33944,3611,0
129192,68491,0
33310,131844,0
134082,66382,0
123711,102750,1
128480,122562,0
61391,57188,0
32701,33649,0
8766,21439,0
47092,23631,0
48655,125227,0
65888,138252,0
92091,63536,0
85366,111805,0
133804,33667,0
34496,135982,0
100701,62651,0
130835,56033,0
5384,32783,0
25417,18943,1
5983,93389,0
84214,93115,0
938,3621,1
68734,37017,1
15990,102913,0
54963,4114,0
82660,23683,0
32918,107752,0
29396,81447,1
132298,8549,0
113623,125888,0
48872,19876,1
28151,12760,0
25871,29169,0
102374,85393,1
87511,15737,0
26520,112088,0
12767,99472,0
49391,68300,0
37286,37388,1
128726,17354,0
2221,15750,0
47623,54838,0
35052,32337,0
26583,62252,1
16140,41472,0
15065,61385,0
78103,24457,0
105436,9341,1
60292,65688,1
49359,97024,0
39864,39930,1
786,125477,0
55657,94688,0
289,132803,0
87167,73167,1
5068,16960,1
104241,37418,0
61387,129775,0
6826,15968,1
47097,51220,1
58958,58954,1
36191,55302,1
55345,104754,1
17763,17817,1
71993,16878,0
118312,105344,0
65410,60283,0
42905,88452,1
46520,65115,0
10514,59105,1
78315,88696,1
125361,107743,0
29894,41064,0
43341,40205,1
104246,82119,0
24756,49192,1
58954,14238,0
34729,136895,0
47338,101936,0
13308,65713,1
117587,22481,0
106566,52678,0
116891,30630,0
92884,12010,0
52408,127622,0
30979,15942,0
80935,32916,0
134837,129715,0
103912,103496,1
66305,1020,0
70699,101626,1
36010,71246,1
20953,21687,1
1612,2292,1
104650,135416,0
115462,88153,0
43270,16665,0
11860,2052,1
2761,93196,0
132357,100528,0
108255,125859,0
17723,54008,1
21096,106662,1
10589,12051,0
55492,117303,0
45992,27322,0
46323,41691,0
6262,50431,0
111656,104175,0
133980,117894,0
65297,91406,0
17426,40859,0
70335,70331,1
110393,100881,0
100015,68775,0
102174,48575,0
30360,66210,1
6650,79294,0
113645,92031,0
6941,75457,0
102645,131579,0
122245,67620,0
38400,88968,0
48242,117265,0
135936,28605,0
47142,20098,0
11169,11587,1
69245,132988,0
69244,137893,1
100607,3945,0
94914,66712,0
118398,41416,0
64723,114423,0
132008,18564,0
135142,48668,0
97354,93507,0
20344,56353,0
61965,7518,0
65991,110310,0
40982,40429,1
8683,126006,0
18052,99102,0
96242,135325,1
38949,4978,1
7693,39527,1
115881,8827,0
19643,49201,1
66953,39106,0
12890,48862,1
36777,32764,0
85471,49788,1
18749,36291,1
48397,80398,0
51110,28811,1
71542,15420,0
53342,41128,0
107270,46260,0
128318,64694,0
129071,71728,0
100593,128623,0
47300,47297,1
33254,100777,0
101695,77534,0
82957,98409,1
65187,10180,1
30496,57914,0
87998,123671,0
20581,112836,0
2348,4029,1
136694,88238,0
11767,41543,1
54678,35403,0
120484,61271,0
72017,102953,0
5744,17528,1
18733,126758,0
112011,78181,0
101364,2634,0
7989,23220,1
43066,58496,1
1325,2530,1
60778,92334,0
55438,55447,1
18784,34964,1
41754,25806,1
32793,96258,0
79229,6987,0
34669,59467,1
135610,28947,0
110041,37821,0
89730,112290,0
88110,131361,0
8004,83011,1
86882,134214,0
7302,17594,1
38640,38722,1
7708,131423,0
47369,8155,0
101074,24777,0
115553,105899,0
23512,117266,0
88880,33729,0
103994,96893,0
11773,27024,0
9396,66277,0
110257,90988,0
10476,11181,1
66715,99373,0
17322,133906,0
59806,74707,0
96595,96597,1
84730,82353,0
99865,60741,0
93399,18398,0
71865,80099,0
95310,79447,0
50619,58144,1
49628,72510,0
1947,39130,1
75930,75925,1
104188,122841,0
17312,15333,1
65655,75446,1
16340,87108,0
65396,80781,0
31595,24520,0
82424,7918,0
94085,37010,0
91638,59398,0
25830,51489,0
121553,102098,0
87969,97248,0
55068,55248,1
64698,44474,1
86077,89811,0
119836,39979,0
111533,15579,0
115009,57296,0
85828,36552,0
22740,46016,0
15126,568,0
23333,127804,0
50486,62198,0
46853,30022,0
26806,95915,0
12450,12214,1
21464,68577,0
14580,17275,1
8180,19184,0
4854,19071,0
134118,126841,0
6101,6198,1
27090,12486,1
120781,60981,0
4996,27770,1
13150,118552,0
7204,24201,1
103809,43202,0
124243,55416,0
24751,32306,1
6882,6679,1
127257,9728,0
2509,1389,1
47427,130888,0
56757,73768,1
39983,76950,0
8550,40937,0
58551,133874,0
129602,4486,0
73173,73762,1
57100,77742,0
45356,69887,0
72025,17487,1
35874,18337,0
2112,17364,0
17102,128158,0
101607,109271,0
25652,78630,0
16230,30643,1
98781,112458,0
14184,96756,0
20419,89406,0
5000,5609,1
48232,25821,1
34932,94516,1
76456,115851,0
13303,32665,1
28073,82173,1
21958,19071,0
122632,42050,0
25640,73736,1
95089,93204,1
43727,45342,1
117789,6812,0
113487,70595,0
17400,114121,0
10970,108627,0
24594,25702,1
8399,92701,0
9388,15924,1
69022,114666,0
5425,7196,1
35645,18212,0
65676,21116,0
49231,90514,0
24516,16642,1
89450,89464,1
14421,16839,1
15998,52823,0
74409,122152,0
99643,24697,0
6448,124754,0
106311,19929,0
46656,100104,0
8617,114806,1
64939,72027,0
29811,72921,0
32202,112761,0
92267,134382,0
103315,108215,1
9518,9542,1
52298,83889,0
81649,68683,1
34689,40152,0
129093,112113,0
19525,5138,1
2445,30048,1
124745,91619,0
10457,67096,1
133670,70621,0
51083,78440,0
107140,134365,0
117246,134072,0
79324,41097,0
80084,80087,1
93732,51198,0
96059,57633,0
61783,94326,1
113004,3301,0
13768,102365,0
38174,61611,0
109493,73331,0
36033,79191,1
33599,74849,0
134600,39207,0
96596,22485,0
125313,65157,0
24299,130221,0
63018,34990,1
72415,116839,0
13608,20743,1
29890,79954,0
14367,81208,0
57961,107812,0
51047,138235,0
38901,46024,1
137268,126705,0
103865,75675,0
2711,86410,0
103735,76438,0
427,78020,0
16450,29900,0
121056,130122,1
26478,26506,1
90834,55549,0
41486,105736,0
61122,10879,0
21414,10792,1
9326,97243,1
134603,123513,0
50876,21806,0
119203,93779,0
66367,48709,1
46715,103566,0
8731,31320,0
43659,90187,0
13660,132245,0
6650,13598,1
125808,84063,0
26202,33851,0
29965,89598,1
70902,55406,0
64173,78302,1
99845,76264,0
97679,77463,0
24776,33298,1
95459,48024,0
21245,35643,0
33547,18847,1
93689,22865,0
4390,25679,1
3694,49189,0
3756,92756,0
28965,121285,0
100739,48349,0
24843,75340,1
112697,94223,0
82159,46544,0
119819,13157,0
91547,117592,1
111021,128375,0
8360,17779,0
15437,9973,0
22365,9889,0
6606,14955,1
