id1,id2,bert_similarity
207,37711,0.6075631976127625
86919,118071,0.09398140013217926
63139,27133,0.42417818307876587
80251,74330,0.7174266576766968
7649,46423,0.6781196594238281
74686,62299,0.11007130146026611
104332,100286,0.0
29693,45290,0.653844952583313
2437,24121,0.7364609837532043
95423,37492,0.11573393642902374
43664,42167,0.13993746042251587
137133,123819,0.0
2534,2554,0.5999436378479004
31145,476,0.08939102292060852
122130,52622,0.04711703211069107
79126,82330,0.0
121229,58735,0.08318209648132324
68293,43859,0.18145017325878143
42757,47229,0.21212245523929596
124713,114475,-0.0019185766577720642
22145,5927,0.19466093182563782
48926,50462,0.06958349049091339
102980,78298,0.29890304803848267
41721,49327,0.6009544134140015
92924,62145,0.2158152461051941
41010,11237,0.33235740661621094
48832,48067,0.7790089845657349
49279,49036,0.46821415424346924
46615,49002,0.39650827646255493
28093,108912,0.5978637933731079
5578,100540,0.0
11659,17035,0.586048424243927
88269,113397,0.07681646943092346
110881,86859,0.06514456868171692
65400,96755,0.22113141417503357
20343,31311,0.2089395523071289
12726,97855,0.14786480367183685
36830,10366,0.23757395148277283
45064,45053,0.6592586040496826
95956,95945,0.4398884177207947
66779,92901,-0.0695357471704483
20343,136810,0.24558550119400024
136317,78470,0.0
79894,111541,0.13984966278076172
19166,31201,0.2388605773448944
12942,4164,0.4463375210762024
126266,76251,0.10173241049051285
97702,47406,0.7153615951538086
18463,93411,0.0
43613,43577,0.6075552105903625
47382,9591,0.21037253737449646
13205,6469,0.36066001653671265
53074,9240,0.6125302910804749
1041,109809,0.04312511160969734
36734,94560,0.43731850385665894
78909,26999,0.28862935304641724
55550,89014,0.1854252815246582
65655,137748,0.24550527334213257
67066,39587,0.21946784853935242
130089,136136,0.4342344105243683
126919,112738,0.1220688447356224
108225,108667,0.6969398260116577
54358,99249,0.6261998414993286
21691,87404,0.12074161320924759
112488,115116,0.17116908729076385
16336,107314,0.6824591159820557
114912,34953,0.1494148224592209
31630,22856,0.12352991849184036
110240,95382,0.12704552710056305
10042,89794,0.3719346821308136
27673,51569,0.05489267408847809
10167,94816,0.15376563370227814
55708,45047,0.0
130599,47667,0.09852446615695953
72690,129542,0.38423797488212585
3252,19836,0.11426527053117752
16171,17905,0.3466068506240845
493,96309,0.41174429655075073
5068,16685,0.6710332036018372
113786,110799,0.10438701510429382
105497,121807,0.6004860997200012
46166,127721,0.09928952902555466
103890,90475,0.2774962782859802
121918,108113,0.06833789497613907
26920,32033,0.5575781464576721
73645,73669,0.5806488990783691
104568,42295,-0.01370270922780037
126647,51165,0.03312113136053085
78474,44497,0.40140700340270996
48674,68131,0.20091436803340912
24489,36547,0.5901920795440674
89737,97014,0.46001559495925903
48419,103862,0.48516708612442017
21455,64553,0.0
73137,67340,0.0
47554,112723,0.06371326744556427
33307,53522,0.0
40490,51733,0.48985570669174194
92168,55627,0.13688801229000092
29960,20632,0.5721557140350342
25626,106046,-0.0156438946723938
53769,16320,0.7555860280990601
60923,139,0.1414259374141693
19525,19554,0.5922136306762695
73891,134526,0.19544655084609985
4240,41689,0.46352076530456543
57299,26285,0.22810980677604675
17846,69861,0.28105077147483826
48882,18576,0.5837051868438721
113986,67142,0.09408196806907654
15175,106750,-0.008962664753198624
12942,63256,0.6206392049789429
38778,125526,0.12087482959032059
43165,136170,0.5902150869369507
78695,118454,0.23328697681427002
28966,26104,0.16048596799373627
17780,47848,0.3525969386100769
60755,92445,0.0
134937,89971,0.392982542514801
99354,85148,0.18767693638801575
112860,75715,0.019565321505069733
71029,37016,0.5387002229690552
27202,80301,0.6264309883117676
134466,47444,0.09547027945518494
85534,113909,0.5789584517478943
31106,32882,0.142351433634758
63900,135978,0.13098613917827606
120037,37448,0.058366335928440094
5935,30765,-0.018625281751155853
30636,33532,0.06740202009677887
37878,32240,0.0
28351,127244,-0.08296245336532593
17900,17993,0.4786662757396698
39178,24647,0.32666105031967163
73664,966,0.1421629637479782
20846,49263,0.0
22207,30185,0.6126235723495483
103056,104822,0.7209933996200562
53840,116574,0.18161128461360931
17135,95861,0.24379952251911163
111881,128182,0.026744306087493896
57563,2097,0.400329053401947
31167,3426,0.0
35706,67862,0.0
130534,87954,0.1578959822654724
124795,36675,-0.040174029767513275
51558,42379,0.13287171721458435
105104,129399,0.11166584491729736
19358,132365,0.066594697535038
81242,124418,0.19607822597026825
85067,59264,0.04124225676059723
81086,24130,0.40259847044944763
121169,14149,-0.021519586443901062
87459,20841,0.24226145446300507
9690,68976,0.0
21962,13767,0.5808592438697815
69529,32531,0.1998203992843628
112278,105381,-0.05724939703941345
78189,7556,0.0
60473,52898,0.0558798685669899
95799,42054,0.35910505056381226
43282,34839,0.6173945069313049
125736,45936,0.22406023740768433
37545,101325,0.2103392481803894
113655,80588,0.004261026158928871
106240,32858,0.17320361733436584
69346,65000,0.0
111420,108298,0.37781450152397156
1675,70478,0.5679585337638855
