id1,id2,shared_word_count,shared_word_ratio
207,37711,18.0,0.18947368421052632
86919,118071,20.0,0.145985401459854
63139,27133,17.0,0.20987654320987653
80251,74330,22.0,0.30985915492957744
7649,46423,30.0,0.1986754966887417
74686,62299,27.0,0.12735849056603774
104332,100286,0.0,0.0
29693,45290,26.0,0.13402061855670103
2437,24121,26.0,0.17567567567567569
95423,37492,11.0,0.12087912087912088
43664,42167,14.0,0.13861386138613863
137133,123819,0.0,0.0
2534,2554,16.0,0.13008130081300814
31145,476,19.0,0.11801242236024845
122130,52622,14.0,0.13592233009708737
79126,82330,0.0,0.0
121229,58735,17.0,0.1559633027522936
68293,43859,16.0,0.125
42757,47229,20.0,0.16393442622950818
124713,114475,19.0,0.1347517730496454
22145,5927,16.0,0.12903225806451613
48926,50462,14.0,0.12612612612612611
102980,78298,20.0,0.15037593984962405
41721,49327,30.0,0.16216216216216217
92924,62145,21.0,0.1337579617834395
41010,11237,22.0,0.1864406779661017
48832,48067,18.0,0.14754098360655737
49279,49036,22.0,0.12643678160919541
46615,49002,22.0,0.15827338129496402
28093,108912,17.0,0.13076923076923078
5578,100540,0.0,0.0
11659,17035,40.0,0.19230769230769232
88269,113397,20.0,0.1941747572815534
110881,86859,3.0,0.17647058823529413
65400,96755,21.0,0.1693548387096774
20343,31311,19.0,0.13970588235294118
12726,97855,21.0,0.19444444444444445
36830,10366,18.0,0.140625
45064,45053,18.0,0.17647058823529413
95956,95945,27.0,0.14516129032258066
66779,92901,17.0,0.15178571428571427
20343,136810,16.0,0.11764705882352941
136317,78470,0.0,0.0
79894,111541,29.0,0.18012422360248448
19166,31201,15.0,0.1875
12942,4164,25.0,0.14619883040935672
126266,76251,13.0,0.10569105691056911
97702,47406,24.0,0.19672131147540983
18463,93411,0.0,0.0
43613,43577,26.0,0.23423423423423423
47382,9591,21.0,0.15328467153284672
13205,6469,13.0,0.22033898305084745
53074,9240,16.0,0.2962962962962963
1041,109809,20.0,0.145985401459854
36734,94560,25.0,0.21367521367521367
78909,26999,28.0,0.18791946308724833
55550,89014,22.0,0.1864406779661017
65655,137748,14.0,0.14432989690721648
67066,39587,19.0,0.10857142857142857
130089,136136,21.0,0.19444444444444445
126919,112738,13.0,0.1511627906976744
108225,108667,34.0,0.3300970873786408
54358,99249,20.0,0.13513513513513514
21691,87404,15.0,0.13392857142857142
112488,115116,13.0,0.1368421052631579
16336,107314,28.0,0.224
114912,34953,13.0,0.18309859154929578
31630,22856,14.0,0.15217391304347827
110240,95382,15.0,0.11450381679389313
10042,89794,17.0,0.23943661971830985
27673,51569,19.0,0.11242603550295859
10167,94816,17.0,0.16346153846153846
55708,45047,0.0,0.0
130599,47667,24.0,0.21052631578947367
72690,129542,11.0,0.1774193548387097
3252,19836,25.0,0.18248175182481752
16171,17905,13.0,0.25
493,96309,12.0,0.34285714285714286
5068,16685,22.0,0.18803418803418803
113786,110799,9.0,0.14516129032258066
105497,121807,22.0,0.18803418803418803
46166,127721,21.0,0.11864406779661017
103890,90475,10.0,0.2564102564102564
121918,108113,14.0,0.19444444444444445
26920,32033,32.0,0.2302158273381295
73645,73669,20.0,0.3448275862068966
104568,42295,11.0,0.12643678160919541
126647,51165,24.0,0.16783216783216784
78474,44497,31.0,0.13777777777777778
48674,68131,21.0,0.1206896551724138
24489,36547,26.0,0.2047244094488189
89737,97014,29.0,0.1870967741935484
48419,103862,24.0,0.12121212121212122
21455,64553,0.0,0.0
73137,67340,0.0,0.0
47554,112723,19.0,0.24050632911392406
33307,53522,0.0,0.0
40490,51733,23.0,0.14743589743589744
92168,55627,11.0,0.09821428571428571
29960,20632,28.0,0.14736842105263157
25626,106046,16.0,0.10810810810810811
53769,16320,31.0,0.18787878787878787
60923,139,19.0,0.15702479338842976
19525,19554,36.0,0.21686746987951808
73891,134526,16.0,0.14414414414414414
4240,41689,27.0,0.20300751879699247
57299,26285,14.0,0.09929078014184398
17846,69861,12.0,0.21052631578947367
48882,18576,27.0,0.2
113986,67142,14.0,0.17073170731707318
15175,106750,19.0,0.12751677852348994
12942,63256,18.0,0.13043478260869565
38778,125526,18.0,0.12162162162162163
43165,136170,20.0,0.13793103448275862
78695,118454,12.0,0.13043478260869565
28966,26104,22.0,0.1116751269035533
17780,47848,19.0,0.18627450980392157
60755,92445,0.0,0.0
134937,89971,19.0,0.13286713286713286
99354,85148,30.0,0.2112676056338028
112860,75715,18.0,0.13138686131386862
71029,37016,27.0,0.24770642201834864
27202,80301,22.0,0.22916666666666666
134466,47444,15.0,0.15625
85534,113909,23.0,0.19166666666666668
31106,32882,10.0,0.15873015873015872
63900,135978,11.0,0.15714285714285714
120037,37448,15.0,0.19230769230769232
5935,30765,20.0,0.1342281879194631
30636,33532,7.0,0.2
37878,32240,0.0,0.0
28351,127244,14.0,0.14893617021276595
17900,17993,23.0,0.15862068965517243
39178,24647,23.0,0.19008264462809918
73664,966,17.0,0.10240963855421686
20846,49263,0.0,0.0
22207,30185,16.0,0.15841584158415842
103056,104822,35.0,0.33653846153846156
53840,116574,19.0,0.11728395061728394
17135,95861,15.0,0.16304347826086957
111881,128182,12.0,0.15384615384615385
57563,2097,16.0,0.17777777777777778
31167,3426,0.0,0.0
35706,67862,0.0,0.0
130534,87954,11.0,0.14285714285714285
124795,36675,18.0,0.1935483870967742
51558,42379,17.0,0.17346938775510204
105104,129399,16.0,0.12903225806451613
19358,132365,20.0,0.14285714285714285
81242,124418,22.0,0.12021857923497267
85067,59264,15.0,0.14705882352941177
