id1,id2,text_similarity
207,37711,0.07033348020657332
86919,118071,0.030726444007003396
63139,27133,0.04632847951853833
80251,74330,0.12112874652604376
7649,46423,0.1416141961918138
74686,62299,0.010237787438509257
104332,100286,0.0
29693,45290,0.18118825209421607
2437,24121,0.1755029416460487
95423,37492,0.007875469244615067
43664,42167,0.010687137556027702
137133,123819,0.0
2534,2554,0.09512287364788909
31145,476,0.004896766862894766
122130,52622,0.03472723410426888
79126,82330,0.0
121229,58735,0.0014289329794249415
68293,43859,0.01000007605301674
42757,47229,0.011896390856438312
124713,114475,0.008266252240174594
22145,5927,0.007174658375482386
48926,50462,0.017564835459814486
102980,78298,0.07314476364435019
41721,49327,0.12974002387829398
92924,62145,0.04305554946070374
41010,11237,0.02976725224940039
48832,48067,0.4123651068586933
49279,49036,0.08221262001473449
46615,49002,0.01896773708990185
28093,108912,0.02082659099365327
5578,100540,0.0
11659,17035,0.14846110955979983
88269,113397,0.020506796695414865
110881,86859,0.0
65400,96755,0.044102352806435194
20343,31311,0.03878693236788873
12726,97855,0.026005678203287724
36830,10366,0.015351590658522318
45064,45053,0.03874122624574226
95956,95945,0.11872471992643593
66779,92901,0.007110859043697515
20343,136810,0.020213938191561562
136317,78470,0.0
79894,111541,0.01697554558047297
19166,31201,0.054923757109272366
12942,4164,0.0704211829929754
126266,76251,0.009270137235819534
97702,47406,0.5542043483922692
18463,93411,0.0
43613,43577,0.15212910816313235
47382,9591,0.02940555741971942
13205,6469,0.07426939420139782
53074,9240,0.07681970824796322
1041,109809,0.034999132786901775
36734,94560,0.34045458433691367
78909,26999,0.03150001671045645
55550,89014,0.011533411448579767
65655,137748,0.020986236572308824
67066,39587,0.022768422591091384
130089,136136,0.05647120795278667
126919,112738,0.027863013541330087
108225,108667,0.3191911123339234
54358,99249,0.10057004635316531
21691,87404,0.014570345278409811
112488,115116,0.0073584073900397695
16336,107314,0.2065734862896766
114912,34953,0.006010829391467381
31630,22856,0.009531905207076212
110240,95382,0.011524735700454855
10042,89794,0.08168470324982413
27673,51569,0.002158502348509463
10167,94816,0.005889528907817752
55708,45047,0.0
130599,47667,0.013189732011950226
72690,129542,0.02723556578207067
3252,19836,0.02246263899957062
16171,17905,0.07934626505636294
493,96309,0.026476650180291543
5068,16685,0.26334634012511066
113786,110799,0.008791248450171554
105497,121807,0.1257548380049488
46166,127721,0.011401826808243242
103890,90475,0.02486870845271691
121918,108113,0.03179272032848249
26920,32033,0.16521358574878725
73645,73669,0.19239464925610175
104568,42295,0.021404325324942106
126647,51165,0.003206044461079258
78474,44497,0.16883087924053258
48674,68131,0.014578438670984337
24489,36547,0.22741459825276203
