id1,id2,text_ratio
207,37711,0.013326343618087572
86919,118071,0.004485612263796102
63139,27133,0.009723261133520383
80251,74330,0.037532851036238886
7649,46423,0.028135270766585525
74686,62299,0.0013038691549044732
104332,100286,0.0
29693,45290,0.024282961620874302
2437,24121,0.030831597856738273
95423,37492,0.0009519797987996147
43664,42167,0.0014813854038058197
137133,123819,0.0
2534,2554,0.01237370714118881
31145,476,0.0005778793192235979
122130,52622,0.004720206577279251
79126,82330,0.0
121229,58735,0.00022286110688278258
68293,43859,0.0012500095066270876
42757,47229,0.0019502280092521791
124713,114475,0.001113892145839117
22145,5927,0.000925762371029974
48926,50462,0.0022153846525892027
102980,78298,0.010999212578097755
41721,49327,0.021038922791074676
92924,62145,0.005759022539329794
41010,11237,0.005549826690566158
48832,48067,0.06084075347095472
49279,49036,0.010394699082322737
46615,49002,0.0030020878847326583
28093,108912,0.002723477283785417
5578,100540,0.0
11659,17035,0.028550213376884574
88269,113397,0.00398190227095433
110881,86859,0.0
65400,96755,0.0074689468462511045
20343,31311,0.005418762610219742
12726,97855,0.005056659650639274
36830,10366,0.0021588174363546984
45064,45053,0.0068366869845427405
95956,95945,0.01723423353770843
66779,92901,0.0010793268191326556
20343,136810,0.0023781103754778234
136317,78470,0.0
79894,111541,0.0030577069679112666
19166,31201,0.010298204457988557
12942,4164,0.010295494589616283
126266,76251,0.0009797706021597845
97702,47406,0.10902380624110211
18463,93411,0.0
43613,43577,0.03563384515532828
47382,9591,0.004507421210321951
13205,6469,0.016364442790138496
53074,9240,0.02276139503643354
1041,109809,0.005109362450642583
36734,94560,0.07274670605489605
78909,26999,0.005919466227468316
55550,89014,0.0021502970497351984
65655,137748,0.0030289413609517835
67066,39587,0.002472000167032768
130089,136136,0.01098051265748628
126919,112738,0.004211850884154535
108225,108667,0.10536405649857666
54358,99249,0.013590546804481792
21691,87404,0.001951385528358455
112488,115116,0.0010069399586370117
16336,107314,0.04627246092888756
114912,34953,0.0011005743956207727
31630,22856,0.0014505073141202907
110240,95382,0.0013196262252429156
10042,89794,0.019558309228831117
27673,51569,0.0002426718616667371
10167,94816,0.0009627114560855853
55708,45047,0.0
130599,47667,0.0027767856867263567
72690,129542,0.004832116509722204
3252,19836,0.004099021715250109
16171,17905,0.019836566264090725
493,96309,0.009077708633242799
5068,16685,0.049518115237200275
113786,110799,0.0012761489685732819
105497,121807,0.023646208855631394
46166,127721,0.0013527591128424128
103890,90475,0.00637659191095305
121918,108113,0.006181917841649354
26920,32033,0.03803478233065605
73645,73669,0.06634298250210403
104568,42295,0.002706294006601874
126647,51165,0.0005380773920692363
78474,44497,0.02326114336202891
48674,68131,0.0017594667361532778
24489,36547,0.0465573193273371
89737,97014,0.026830959426081977
48419,103862,0.00886172207415829
21455,64553,0.0
73137,67340,0.0
47554,112723,0.0030565850876301337
33307,53522,0.0
40490,51733,0.01242075048527689
92168,55627,0.0007805693920860785
29960,20632,0.006738450608658319
25626,106046,0.00029401179907972974
53769,16320,0.029333584560383964
60923,139,0.0028478017634632966
19525,19554,0.04342760365080208
73891,134526,0.005621038997668856
4240,41689,0.024189972966617363
57299,26285,0.0018401653320948075
17846,69861,0.005172901555636882
48882,18576,0.021717294387262484
113986,67142,0.00039100752041353883
15175,106750,0.001139321941463272
12942,63256,0.01236815444845515
38778,125526,0.0014863631680314606
43165,136170,0.03228356794863935
78695,118454,0.0018284797930239905
28966,26104,0.0020222866401922155
17780,47848,0.010039195715952914
60755,92445,0.0
134937,89971,0.0026112995709854287
99354,85148,0.007705738250506605
112860,75715,0.000494532048929978
71029,37016,0.02961620133645383
27202,80301,0.01852233833346178
134466,47444,0.0017308937578503908
85534,113909,0.029255447376020798
31106,32882,0.0020935021941010947
63900,135978,0.0
120037,37448,0.0023752593988842882
5935,30765,0.002342893374996228
30636,33532,0.00074394491824112
37878,32240,0.0
28351,127244,0.0
17900,17993,0.0027652385563360477
39178,24647,0.006393965055518629
73664,966,0.0011443295737194957
20846,49263,0.0
22207,30185,0.018878125902261445
103056,104822,0.15533454397564483
53840,116574,0.003431885419823319
17135,95861,0.0009844341977011952
111881,128182,0.0004984955600240922
57563,2097,0.008027788556961775
31167,3426,0.0
35706,67862,0.0
130534,87954,0.0044763249094152266
124795,36675,0.004013648506957471
51558,42379,0.0035661845965183872
105104,129399,0.001365269660775135
19358,132365,0.0010252920355258138
81242,124418,0.0026822831365550465
85067,59264,0.001837471360739793
81086,24130,0.005098735197157006
121169,14149,0.003969666673324714
87459,20841,0.0
9690,68976,0.0
